epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7741,1.54734,2.60986,1.27438,0.91183,0.76613,0.83732,0.53765,1.2512,1.12298,1.06748,0.000660661,0.000660661,0.000660661
2,64.6256,1.60653,1.03711,1.27779,0.84419,0.91935,0.94817,0.5314,1.30047,1.28995,1.18051,0.00131419,0.00131419,0.00131419
3,101.201,1.61106,1.01315,1.28761,0.81909,0.91129,0.92167,0.48522,1.54862,1.05065,1.31254,0.00195451,0.00195451,0.00195451
4,132.274,1.56788,0.92892,1.27584,0.83124,0.8871,0.92629,0.57734,1.28645,0.86416,1.16411,0.0019406,0.0019406,0.0019406
5,173.609,1.5576,0.91809,1.26312,0.9334,0.90424,0.91992,0.59116,1.24055,0.89104,1.21066,0.0019208,0.0019208,0.0019208
6,210.727,1.5268,0.83517,1.26133,0.87747,0.95161,0.9552,0.60218,1.25947,0.79867,1.16216,0.001901,0.001901,0.001901
7,244.093,1.55544,0.83205,1.2918,0.89364,0.94859,0.96914,0.62794,1.16956,0.76745,1.1656,0.0018812,0.0018812,0.0018812
8,281.999,1.52707,0.79949,1.23329,0.94826,0.98387,0.98267,0.63488,1.12903,0.74921,1.11976,0.0018614,0.0018614,0.0018614
9,318.826,1.54117,0.84317,1.25587,0.95924,0.95968,0.96895,0.61767,1.19514,0.6942,1.13898,0.0018416,0.0018416,0.0018416
10,352.709,1.48378,0.79243,1.2143,0.97085,0.95968,0.98649,0.6025,1.28144,0.68178,1.18302,0.0018218,0.0018218,0.0018218
11,385.058,1.44392,0.74195,1.21736,0.94909,0.93548,0.97924,0.62419,1.14556,0.70337,1.13195,0.001802,0.001802,0.001802
12,419.532,1.47695,0.73415,1.21668,0.92628,0.91199,0.94109,0.63172,1.18869,0.78804,1.10913,0.0017822,0.0017822,0.0017822
13,453.543,1.45334,0.71477,1.19481,0.79675,0.85355,0.90571,0.55891,1.33697,0.8312,1.20564,0.0017624,0.0017624,0.0017624
14,486.04,1.45677,0.73574,1.21592,0.96019,0.97581,0.98881,0.64414,1.16894,0.64695,1.12347,0.0017426,0.0017426,0.0017426
15,523.001,1.47242,0.73397,1.20809,0.93023,0.96774,0.97701,0.59685,1.26693,0.6825,1.14937,0.0017228,0.0017228,0.0017228
16,558.834,1.45856,0.71945,1.20525,0.96264,0.98387,0.99176,0.64548,1.14002,0.61058,1.10112,0.001703,0.001703,0.001703
17,597.179,1.44148,0.69857,1.21199,0.96732,0.97581,0.9905,0.64476,1.16064,0.61576,1.15735,0.0016832,0.0016832,0.0016832
18,630.348,1.43462,0.70714,1.19393,0.97636,0.99905,0.99274,0.66299,1.1608,0.55487,1.08675,0.0016634,0.0016634,0.0016634
19,668.481,1.41328,0.6976,1.17881,0.98396,0.98933,0.99419,0.68475,1.10464,0.54362,1.10451,0.0016436,0.0016436,0.0016436
