epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2648,0.86213,1.69412,1.22301,0.70736,0.64925,0.68925,0.44654,1.18879,1.60301,1.72481,0.00041351,0.00041351,0.00041351
2,78.6035,1.06892,1.38562,1.35773,0.49353,0.53931,0.53085,0.34207,1.23314,2.25183,1.65116,0.000821958,0.000821958,0.000821958
3,116.109,1.12203,1.38099,1.3834,0.70813,0.63846,0.68572,0.42735,1.27248,1.70254,1.75046,0.00122216,0.00122216,0.00122216
4,154.614,1.1244,1.34162,1.39864,0.69133,0.39997,0.44805,0.27391,1.42549,2.92909,1.71881,0.00121287,0.00121287,0.00121287
5,194.266,1.1022,1.36459,1.38881,0.67991,0.65448,0.69911,0.45955,1.19639,1.82665,1.64491,0.0012005,0.0012005,0.0012005
6,233.91,1.07977,1.25223,1.38352,0.76172,0.65366,0.75006,0.48273,1.25181,1.40565,1.59755,0.00118812,0.00118812,0.00118812
7,273.001,1.04096,1.19447,1.33874,0.70152,0.69192,0.73635,0.50201,1.15871,1.29415,1.58276,0.00117575,0.00117575,0.00117575
8,321.491,1.03601,1.10462,1.33942,0.83751,0.70835,0.82908,0.56705,1.13424,1.01399,1.53695,0.00116337,0.00116337,0.00116337
9,387.528,0.98103,1.02644,1.29333,0.75287,0.64429,0.76604,0.52536,1.07309,1.37219,1.46183,0.001151,0.001151,0.001151
10,453.557,0.98047,1.04389,1.29796,0.82412,0.76226,0.84325,0.62242,1.02187,1.01327,1.45617,0.00113863,0.00113863,0.00113863
11,511.689,0.97933,1.03522,1.30281,0.83448,0.75168,0.83108,0.60026,1.02258,1.02715,1.42092,0.00112625,0.00112625,0.00112625
12,586.653,0.93841,0.99165,1.27851,0.85392,0.72066,0.86784,0.6324,0.98736,1.02054,1.40197,0.00111388,0.00111388,0.00111388
13,660.61,0.92856,0.96847,1.27297,0.85179,0.73755,0.8463,0.62859,0.9902,0.88583,1.41953,0.0011015,0.0011015,0.0011015
14,724.888,0.91882,0.92141,1.25789,0.84337,0.80584,0.86919,0.6337,1.02439,0.84214,1.47647,0.00108913,0.00108913,0.00108913
15,766.418,0.90123,0.88144,1.24618,0.94019,0.7704,0.89023,0.67505,0.9548,0.8144,1.40638,0.00107675,0.00107675,0.00107675
16,808.787,0.88221,0.90582,1.23941,0.84795,0.81746,0.88375,0.65299,0.98422,0.79438,1.43425,0.00106437,0.00106437,0.00106437
17,851.533,0.88291,0.86652,1.23756,0.91631,0.78533,0.89795,0.68912,0.95454,0.84135,1.46352,0.001052,0.001052,0.001052
18,895.596,0.85768,0.83406,1.21085,0.89979,0.78262,0.8798,0.68014,0.99592,0.87151,1.42651,0.00103962,0.00103962,0.00103962
19,946.497,0.85186,0.83524,1.21042,0.87583,0.78866,0.89573,0.69184,0.92014,0.88158,1.36736,0.00102725,0.00102725,0.00102725
20,1003.52,0.84539,0.85245,1.21576,0.84749,0.77987,0.87188,0.66753,0.91546,0.76071,1.39017,0.00101488,0.00101488,0.00101488
21,1069.52,0.82818,0.78355,1.19339,0.89415,0.83993,0.91607,0.72753,0.85486,0.60643,1.32285,0.0010025,0.0010025,0.0010025
22,1132.32,0.82482,0.78986,1.18917,0.8479,0.83946,0.88205,0.67424,0.87852,0.73113,1.29565,0.000990125,0.000990125,0.000990125
23,1179.32,0.81302,0.77177,1.18437,0.895,0.81424,0.90851,0.72311,0.85639,0.68782,1.2869,0.00097775,0.00097775,0.00097775
