epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.05759,1.21998,4.8314,1.21474,0.00676,0.83333,0.0065,0.00478,1.07967,4.69978,1.1194,0,0,0
2,317.813,1.0537,4.68967,1.28293,0.00666,0.83333,0.00657,0.00484,1.08397,4.69676,1.12185,1.22525e-05,1.22525e-05,1.22525e-05
3,318.574,1.12755,5.26344,1.31225,0.00661,0.83333,0.00666,0.00492,1.07696,4.7083,1.12455,2.401e-05,2.401e-05,2.401e-05
4,319.301,1.22434,5.0591,1.2699,0.00656,0.83333,0.00743,0.00549,1.0815,4.70539,1.12664,3.52725e-05,3.52725e-05,3.52725e-05
5,319.931,1.36344,5.38745,1.43244,0.00661,0.83333,0.00806,0.00595,1.08233,4.72315,1.12901,4.604e-05,4.604e-05,4.604e-05
6,320.575,1.31583,5.07562,1.24983,0.00667,0.83333,0.00911,0.00673,1.07808,4.73441,1.1299,5.63125e-05,5.63125e-05,5.63125e-05
7,321.276,1.47545,5.65092,1.60892,0.00797,1,0.01079,0.00779,1.08295,4.75227,1.13229,6.609e-05,6.609e-05,6.609e-05
8,321.957,1.48632,5.13794,1.5781,0.008,1,0.01126,0.00814,1.10241,4.77001,1.13706,7.53725e-05,7.53725e-05,7.53725e-05
9,322.552,1.06352,4.90606,1.10875,0.008,1,0.01126,0.00814,1.10241,4.77001,1.13706,8.416e-05,8.416e-05,8.416e-05
10,323.187,1.18255,5.21749,1.41284,0.00822,1,0.014,0.01002,1.10913,4.81624,1.1422,9.24525e-05,9.24525e-05,9.24525e-05
11,323.876,1.10677,4.73342,1.27981,0.00822,1,0.014,0.01002,1.10913,4.81624,1.1422,0.00010025,0.00010025,0.00010025
12,324.627,1.19805,4.7882,1.20346,1,0.8026,0.995,0.9586,0.33521,2.91387,0.88791,0.000107553,0.000107553,0.000107553
13,326.115,0.87185,3.09523,1.20101,1,0.8026,0.995,0.9586,0.33521,2.91387,0.88791,0.00011436,0.00011436,0.00011436
14,327.474,1.55819,3.64299,1.67512,0.99101,1,0.995,0.93983,0.34918,1.99938,0.85732,0.000120672,0.000120672,0.000120672
15,328.654,0.71451,2.33474,1.15874,0.99101,1,0.995,0.93983,0.34918,1.99938,0.85732,0.00012649,0.00012649,0.00012649
16,329.773,0.7841,1.87671,1.02048,0.99181,1,0.995,0.94808,0.3315,1.66753,0.84074,0.000131813,0.000131813,0.000131813
17,330.856,0.61873,1.5186,1.00844,0.99181,1,0.995,0.94808,0.3315,1.66753,0.84074,0.00013664,0.00013664,0.00013664
18,331.942,0.55722,1.43287,1.05568,0.99217,1,0.995,0.8624,0.58207,1.33669,0.91185,0.000140972,0.000140972,0.000140972
19,333.111,0.36396,1.10497,0.91644,0.99217,1,0.995,0.8624,0.58207,1.33669,0.91185,0.00014481,0.00014481,0.00014481
20,334.233,0.56656,1.36392,1.07125,0.99199,1,0.995,0.87667,0.54232,1.24211,0.90061,0.000148153,0.000148153,0.000148153
21,335.362,0.61447,1.11424,0.94045,0.99199,1,0.995,0.87667,0.54232,1.24211,0.90061,0.000151,0.000151,0.000151
22,336.62,0.64288,1.86356,1.07903,0.99214,1,0.995,0.87383,0.60602,1.25562,0.91211,0.000153353,0.000153353,0.000153353
23,337.844,0.84287,1.5411,0.97011,0.99214,1,0.995,0.87383,0.60602,1.25562,0.91211,0.00015521,0.00015521,0.00015521
24,338.917,0.47047,2.22651,1.03423,0.99214,1,0.995,0.87383,0.60602,1.25562,0.91211,0.000156573,0.000156573,0.000156573
25,340.039,0.73454,1.21965,1.10133,0.99238,1,0.995,0.97333,0.33254,1.08616,0.8498,0.00015744,0.00015744,0.00015744
26,341.463,0.42944,1.41914,0.8704,0.99238,1,0.995,0.97333,0.33254,1.08616,0.8498,0.000157812,0.000157812,0.000157812
27,342.672,0.37849,1.08132,0.87285,0.99238,1,0.995,0.97333,0.33254,1.08616,0.8498,0.00015769,0.00015769,0.00015769
28,344.067,0.57895,1.18562,0.94967,0.99238,1,0.995,0.90577,0.44265,1.11382,0.88477,0.000157072,0.000157072,0.000157072
29,345.124,0.46028,1.08482,0.9256,0.99238,1,0.995,0.90577,0.44265,1.11382,0.88477,0.00015596,0.00015596,0.00015596
30,346.348,0.37396,0.86099,0.87844,0.99238,1,0.995,0.90577,0.44265,1.11382,0.88477,0.000154352,0.000154352,0.000154352
31,347.586,0.56231,1.16562,0.96126,0.99245,1,0.995,0.90577,0.43583,1.05514,0.88501,0.00015225,0.00015225,0.00015225
32,348.76,0.64423,1.4085,1.06762,0.99245,1,0.995,0.90577,0.43583,1.05514,0.88501,0.000149652,0.000149652,0.000149652
33,349.814,0.71232,1.20013,1.00814,0.99245,1,0.995,0.90577,0.43583,1.05514,0.88501,0.00014656,0.00014656,0.00014656
34,350.872,0.55423,1.06854,0.96794,0.99253,1,0.995,0.92583,0.33125,0.8928,0.84943,0.000142972,0.000142972,0.000142972
35,351.93,0.70966,1.11697,1.01723,0.99253,1,0.995,0.92583,0.33125,0.8928,0.84943,0.00013889,0.00013889,0.00013889
36,353.054,0.52217,1.14441,0.8692,0.99253,1,0.995,0.92583,0.33125,0.8928,0.84943,0.000134313,0.000134313,0.000134313
37,354.088,0.44818,0.77962,0.90635,0.99253,1,0.995,0.92583,0.33125,0.8928,0.84943,0.00012924,0.00012924,0.00012924
