epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35283,1.37088,4.98887,1.35662,0.00662,0.83333,0.00619,0.00456,1.08424,4.69199,1.12129,0,0,0
2,2.32921,1.35577,4.60823,1.5561,0.00656,0.83333,0.00628,0.00462,1.08679,4.68816,1.12322,1.22525e-05,1.22525e-05,1.22525e-05
3,3.2376,1.35157,4.57477,1.30349,0.00658,0.83333,0.00648,0.00478,1.07942,4.68492,1.12329,2.401e-05,2.401e-05,2.401e-05
4,4.12039,1.10453,5.08309,1.17314,0.00665,0.83333,0.00689,0.00509,1.07738,4.68669,1.12659,3.52725e-05,3.52725e-05,3.52725e-05
5,5.10534,1.13515,4.42578,1.21201,0.00668,0.83333,0.00779,0.00576,1.0774,4.68761,1.12722,4.604e-05,4.604e-05,4.604e-05
6,5.94178,1.16744,4.8933,1.11652,0.00678,0.83333,0.00888,0.00656,1.07474,4.67773,1.12875,5.63125e-05,5.63125e-05,5.63125e-05
7,6.78419,1.19402,5.29511,1.41841,0.00816,1,0.0111,0.00802,1.08633,4.69046,1.13161,6.609e-05,6.609e-05,6.609e-05
8,7.67498,1.23589,4.82014,1.40198,0.00833,1,0.01186,0.00859,1.08691,4.70101,1.13198,7.53725e-05,7.53725e-05,7.53725e-05
9,8.47634,1.28968,4.61804,1.24538,0.00833,1,0.01186,0.00859,1.08691,4.70101,1.13198,8.416e-05,8.416e-05,8.416e-05
10,9.36149,1.28345,4.46456,1.3051,0.00842,1,0.01456,0.01042,1.09201,4.71676,1.13579,9.24525e-05,9.24525e-05,9.24525e-05
11,10.335,1.28508,4.83898,1.27443,0.00842,1,0.01456,0.01042,1.09201,4.71676,1.13579,0.00010025,0.00010025,0.00010025
12,11.3207,1.23344,5.69954,1.25763,0.96094,1,0.995,0.90942,0.46951,2.41986,0.90051,0.000107553,0.000107553,0.000107553
